city,latitude,longitude,cluster
Lianshan,40.7523,120.828,771
Beirut,33.8983,35.5057,780
Salvador,-12.9747,-38.4767,363
Bucharest,44.4325,26.1039,989
Longba,33.3702,104.9603,275
Nagpur,21.1497,79.0806,168
Queens,40.7498,-73.7976,328
Jilin,43.8519,126.5481,338
Tieling,42.2237,123.726,353
Accra,5.55,-0.2,452
Yunfu,22.9152,112.0445,149
Bekasi Kota,-6.2333,107.0,692
Daegu,35.8717,128.6017,978
Ghaziabad,28.67,77.42,981
Luoyang,34.6197,112.4539,597
Brisbane,-27.4678,153.0281,147
Anshun,26.2531,105.9476,58
Riverside,33.9381,-117.3949,30
Yingkou,40.625,122.219,353
Colombo,6.9344,79.8428,387
Yanjiang,30.129,104.627,234
Baku,40.3953,49.8822,991
Antananarivo,-18.91,47.525,260
Mudanjiang,44.5514,129.6329,509
Fukuoka,33.59,130.4017,343
Yan'an,36.65,109.494,29
Jincheng,35.491,112.852,597
Nantong,31.981,120.894,602
Lincang,23.884,100.089,999
Yuxi,24.347,102.527,438
Las Vegas,36.2333,-115.2654,578
Caracas,10.4806,-66.9036,160
Tangerang,-6.1703,106.6403,692
Laibin,23.7501,109.2212,605
Konya,37.8667,32.4833,539
Supaul,26.126,86.605,440
Vienna,48.2083,16.3725,758
Esfahan,32.6447,51.6675,552
Baltimore,39.3051,-76.6144,0
Shengli,37.434,118.6746,386
Dandong,40.1167,124.3833,867
Qinbaling,35.7278,107.64,743
Gaoping,30.7824,106.1281,234
Awka,6.2069,7.0678,727
Taizhou,28.6557,121.4208,792
Ma'anshan,31.669,118.507,253
Harare,-17.8292,31.0522,72
Perth,-31.9559,115.8606,356
St. Louis,38.6359,-90.2451,182
Phnom Penh,11.5694,104.9211,224
Depok,-6.394,106.8225,692
Stockholm,59.3294,18.0686,937
Puning,23.298,116.166,436
Huaibei,33.956,116.798,132
Kowloon,22.3167,114.1833,149
Cordoba,-31.4167,-64.1833,778
Haiphong,20.8651,106.6838,243
Zamboanga City,6.9042,122.0761,628
Chongzuo,22.377,107.365,243
Rawalpindi,33.6,73.0333,588
Portland,45.5371,-122.65,248
Kano,12.0,8.5167,564
Yushan,31.322,120.985,602
Havana,23.1367,-82.3589,568
Hezhou,24.4042,111.5672,696
Pingliang,35.5424,106.6649,743
Vadodara,22.3,73.2,549
Manaus,-3.1189,-60.0217,459
Qingyang,24.7816,118.5517,902
San Antonio,29.4632,-98.5238,824
Rajkot,22.3,70.7833,378
Shangzhou,33.868,109.9244,324
Vishakhapatnam,17.7042,83.2978,186
Sanmenxia,34.7732,111.2004,816
Baicheng,45.62,122.838,158
Gujranwala,32.1567,74.19,988
Aleppo,36.2,37.16,528
Tijuana,32.525,-117.0333,582
Bamenda,5.9614,10.1517,11
Minsk,53.9,27.5667,624
Indore,22.7167,75.8472,515
Karaj,35.8272,50.9489,196
Kananga,-5.897,22.4488,464
Peshawar,34.0144,71.5675,588
Sapporo,43.0619,141.3544,128
Sacramento,38.5677,-121.4685,656
Tilburg,51.55,5.0833,954
Pingxiang,27.659,113.887,190
Ecatepec,19.6097,-99.06,401
Almaty,43.24,76.915,890
Austin,30.3005,-97.7522,824
Yinchuan,38.485,106.225,435
Santos,-23.9369,-46.325,638
Blantyre,-15.7861,35.0058,231
Thane,19.1972,72.9722,591
Orlando,28.4773,-81.337,836
Tainan,22.9833,120.1833,536
Xiping,40.082,113.2981,283
Multan,30.1978,71.4697,668
Santa Cruz,-17.8,-63.1833,122
Port Harcourt,4.8242,7.0336,727
Jixi,45.295,130.969,509
Fushun,41.881,123.957,353
Warsaw,52.23,21.0111,563
Beihai,21.481,109.12,605
Fuxin,42.022,121.67,353
Wuwei,37.929,102.638,101
Siping,43.1668,124.3506,338
San Juan,18.3985,-66.061,40
Mersin,36.8,34.6333,145
Bhopal,23.2599,77.4126,886
Mosul,36.34,43.13,288
Lubumbashi,-11.6647,27.4794,489
Davao,7.07,125.6,499
Curitiba,-25.4297,-49.2711,325
San Jose,37.3012,-121.848,134
Shuyangzha,34.1299,118.7734,975
Adana,37.0,35.3213,145
Quito,-0.22,-78.5125,610
Pittsburgh,40.4397,-79.9763,613
Brazzaville,-4.2694,15.2711,565
Hyderabad City,25.3792,68.3683,178
Diyarbakir,37.91,40.24,672
Indianapolis,39.7771,-86.1458,774
Pimpri-Chinchwad,18.6186,73.8037,591
Masqat,23.5889,58.4083,259
Montevideo,-34.8836,-56.1819,861
Shuozhou,39.3317,112.4329,283
Manhattan,40.7834,-73.9662,328
Cincinnati,39.1413,-84.506,146
Kansas City,39.1238,-94.5541,304
Patna,25.594,85.1376,297
Tegucigalpa,14.1058,-87.2047,690
Kampala,0.3136,32.5811,23
Cleveland,41.4764,-81.6805,295
Sanzhou,30.82,108.4,844
Changshu,31.656,120.753,602
Heihe,50.2401,127.521,453
Conakry,9.5092,-13.7122,279
Ximeicun,24.9612,118.3849,902
Caloocan City,14.65,120.97,170
Masvingo,-20.0744,30.8328,606
Zhongli,24.965,121.2168,7
Novosibirsk,55.05,82.95,982
Bilaspur,22.09,82.15,632
Semarang,-6.99,110.4225,167
Jingdezhen,29.2917,117.1986,253
Ludhiana,30.91,75.85,488
Liaoyang,41.279,123.176,353
Chengtangcun,35.0833,117.15,975
Rajshahi,24.3667,88.6,737
